#time[ms]	cost	improvement[%]	duration[ms]	improver_class_name
32	1061649570	0.0	0	Problem
64	1035867931	2.4284509435632327	0	HillClimberVisit
65	1020978102	3.8309691963610932	0	HillClimberVisit
69	1003872703	5.442178721929873	0	HillClimberVisit
70	987798824	6.956226243279127	0	HillClimberVisit
75	971028438	8.53587987606871	0	HillClimberVisit
76	960369789	9.539850423525344	0	HillClimberVisit
78	947988761	10.706057084354114	0	HillClimberVisit
81	931741034	12.23647987725366	0	HillClimberVisit
85	920975339	13.25053341282849	0	HillClimberVisit
86	909795993	14.303549993431448	0	HillClimberVisit
92	899000108	15.320447216872136	0	HillClimberVisit
121	887160279	16.43567669885648	0	HillClimberVisit
144	876381178	17.450992986320337	0	HillClimberVisit
230	873348456	17.736654289795453	0	HillClimber
232	860042205	18.990010517312225	0	HillClimberVisit
243	849339144	19.998164366044062	0	HillClimberVisit
301	849109644	20.01978166863478	0	HillClimber
324	849109544	20.019791087938746	0	HillClimber
438	834747712	21.37257569840112	104	MipFastModel
467	833262196	21.51250096583188	0	HillClimber
499	832742612	21.561442162125115	11	MipFastModel
516	831606108	21.668492928415166	0	HillClimber
529	831605907	21.668511861216125	0	HillClimber
579	830069188	21.813260094854087	5	MipFastModel
592	830056208	21.814482720508238	0	HillClimber
605	830056108	21.8144921398122	0	HillClimber
618	830055528	21.814546771775174	3	MipFastModel
640	827339223	22.070403796235702	14	MipFastModel
657	823335703	22.44750751417909	5	MipFastModel
681	823335203	22.447554610698894	0	HillClimber
698	819948328	22.766574661731365	8	MipFastModel
765	818005936	22.949534468327435	4	MipFastModel
788	810432782	23.66287286302956	0	HillClimber
811	809534445	23.747489955654576	0	HillClimber
827	809530984	23.74781595776467	0	HillClimber
858	809497436	23.75097594585754	4	MipFastModel
863	809476705	23.752928661761715	0	HillClimber
964	802865363	24.375671060649513	12	MipFastModel
984	802857426	24.376418670804906	8	MipFastModel
1002	800489756	24.599436704900658	5	MipFastModel
1011	799998017	24.645755096005924	0	HillClimber
1026	799855468	24.659182219609434	0	HillClimber
1036	799855467	24.65918231380247	0	HillClimber
1059	799818268	24.662686200682963	5	MipFastModel
1076	799475590	24.694964083110776	8	MipFastModel
1079	799475490	24.694973502414737	0	HillClimber
1128	799255072	24.715735343819713	7	MipFastModel
1138	799226378	24.71843811889831	0	HillClimber
1231	799167233	24.724009166226104	23	MipFastModel
1286	788559246	25.723207705909964	38	MipFastModel
1293	785401904	26.020607345981404	0	HillClimber
1320	785108430	26.048250554088202	13	MipFastModel
1323	785107929	26.048297744801047	0	HillClimber
1332	785107827	26.048307352491086	0	HillClimber
1342	785107727	26.048316771795047	0	HillClimber
1384	784147371	26.138775622543697	34	MipFastModel
1390	784067561	26.14629316903505	0	HillClimber
1419	784066782	26.14636654541291	6	MipFastModel
1440	783977032	26.154820370717996	6	MipFastModel
1448	783950409	26.15732807201156	0	HillClimber
1507	783524159	26.197477855145742	15	MipFastModel
1512	783510450	26.19876914752577	0	HillClimber
1548	783332181	26.215560846504182	28	MipFastModel
1567	783177925	26.230090688022415	0	HillClimber
1583	783177725	26.230109526630336	0	HillClimber
1595	782922364	26.254162755418438	11	MipFastModel
1603	782922361	26.254163037997557	0	HillClimber
1629	782914141	26.25493730478316	6	MipFastModel
1647	782566431	26.287689166586297	6	MipFastModel
1696	782555351	26.288732825465186	4	MipFastModel
1833	782540162	26.29016352354384	7	MipFastModel
1835	782540061	26.290173037040837	0	HillClimber
1841	782540060	26.290173131233878	0	HillClimber
1846	782540059	26.29017322542692	0	HillClimber
1855	782531940	26.29093797871552	5	MipFastModel
1892	782408635	26.302552451464752	35	MipFastModel
1896	782397826	26.303570584029906	0	HillClimber
1938	782183109	26.32379543091606	38	MipFastModel
1940	782148380	26.32706666098871	0	HillClimber
1969	781915403	26.34901147277816	29	MipFastModel
1992	781801433	26.359746653502626	18	MipFastModel
2000	781801132	26.359775005607545	0	HillClimber
2095	781798894	26.359985809630196	5	MipFastModel
2106	781798893	26.359985903823237	0	HillClimber
2124	781785845	26.36121493460408	7	MipFastModel
2167	781775244	26.362213475016997	25	MipFastModel
2174	781775041	26.362232596204038	0	HillClimber
2185	781775040	26.36223269039708	0	HillClimber
2210	781756410	26.36398750672503	9	MipFastModel
2216	781756409	26.36398760091807	0	HillClimber
2245	781746790	26.364893643766088	5	MipFastModel
2247	781746789	26.36489373795913	0	HillClimber
2299	781002685	26.434983155505822	9	MipFastModel
2309	781002171	26.43503157072818	0	HillClimber
2596	780629954	26.470091821353066	88	MipFastModel
2609	780629953	26.470091915546107	0	HillClimber
2636	780568362	26.475893359048786	27	MipFastModel
2649	780563792	26.47632382123981	0	HillClimber
2655	780563691	26.47633333473681	0	HillClimber
2662	780563491	26.476352173344733	0	HillClimber
2753	779972976	26.531974576130615	60	MipFastModel
2798	779931227	26.535907041341336	8	MipFastModel
2803	779931224	26.535907323920455	0	HillClimber
2810	779931223	26.535907418113492	0	HillClimber
3054	779539906	26.572766755794948	116	MipFastModel
3067	779484404	26.577994657879437	0	HillClimber
3141	779394556	26.586457714102405	3	MipFastModel
3360	779341405	26.591464168350768	13	MipFastModel
3377	779137166	26.610702060567878	5	MipFastModel
3385	779136063	26.610805955490566	0	HillClimber
3393	779135863	26.61082479409849	0	HillClimber
3396	779135763	26.610834213402452	0	HillClimber
3456	779135762	26.61083430759549	5	MipFastModel
3463	779135759	26.61083459017461	0	HillClimber
3471	779135757	26.610834778560687	0	HillClimber
3546	779135638	26.610845987532404	7	MipFastModel
3550	779135637	26.61084608172544	0	HillClimber
3632	779085084	26.615607822456894	30	MipFastModel
3641	779082742	26.615828422555666	0	HillClimber
3697	778694175	26.652428729378187	14	MipFastModel
3706	778694174	26.652428823571228	0	HillClimber
4364	778125731	26.705972197586817	76	MipFastModel
4428	778125730	26.705972291779858	0	MipFastModel
4432	778125729	26.705972385972895	0	HillClimber
4725	778101430	26.708261182642403	12	MipFastModel
4868	778030562	26.714936454973557	27	MipFastModel
4879	778030462	26.714945874277518	0	HillClimber
4926	778030461	26.714945968470555	8	MipFastModel
4939	778030458	26.714946251049675	0	HillClimber
5134	777601219	26.755377577179257	53	MipFastModel
5145	777601000	26.75539820545493	0	HillClimber
5242	777566538	26.758644285986005	48	MipFastModel
5556	777553400	26.759881794140416	148	MipFastModel
5576	777553198	26.759900821134416	0	HillClimber
5592	777553197	26.759900915327457	2	MipFastModel
5677	777551597	26.760051624190833	4	MipFastModel
5697	777551397	26.760070462798755	1	MipFastModel
5786	777550997	26.7601081400146	2	MipFastModel
5792	777550796	26.76012707281556	0	HillClimber
5883	777550795	26.7601271670086	1	MipFastModel
5892	777550594	26.760146099809564	0	HillClimber
5453	777550494	26.760155519113525	1	MipFastModel
5616	777550194	26.760183777025407	2	MipFastModel
5626	777550193	26.760183871218448	0	HillClimber
5638	777549993	26.76020270982637	2	MipFastModel
6367	777549793	26.76022154843429	1	MipFastModel
6561	777548493	26.760343999385785	3	MipFastModel
6679	777548492	26.760344093578826	1	MipFastModel
6792	777548292	26.760362932186748	2	MipFastModel
6799	777548291	26.76036302637979	0	HillClimber
6806	777548191	26.76037244568375	0	HillClimber
7200	777548091	26.76038186498771	1	MipFastModel
