SolutionId,Cost,Improvement,Timestamp,SolverMethod,NumReassignments
1,1061649570,0.0000,1752783959482,"HillClimber-Initial",0
2,1035867931,2.4285,1752783959497,"HillClimber-Greedy",1
3,1020978102,3.8310,1752783959499,"HillClimber-Greedy",4
4,1003872703,5.4422,1752783959503,"HillClimber-Greedy",13
5,987798824,6.9562,1752783959504,"HillClimber-Greedy",15
6,985565995,7.1665,1752783959504,"HillClimber-Greedy",16
7,984427246,7.2738,1752783959505,"HillClimber-Greedy",17
8,978540477,7.8283,1752783959507,"HillClimber-Greedy",22
9,971028438,8.5359,1752783959509,"HillClimber-Greedy",29
10,960369789,9.5399,1752783959510,"HillClimber-Greedy",33
11,951095760,10.4134,1752783959511,"HillClimber-Greedy",37
12,947988761,10.7061,1752783959511,"HillClimber-Greedy",40
13,942459082,11.2269,1752783959512,"HillClimber-Greedy",44
14,938729693,11.5782,1752783959515,"HillClimber-Greedy",54
15,931741034,12.2365,1752783959515,"HillClimber-Greedy",56
16,929476155,12.4498,1752783959516,"HillClimber-Greedy",62
17,927687426,12.6183,1752783959517,"HillClimber-Greedy",71
18,927446957,12.6410,1752783959517,"HillClimber-Greedy",73
19,926629588,12.7179,1752783959518,"HillClimber-Greedy",78
20,920975339,13.2505,1752783959519,"HillClimber-Greedy",81
21,920259260,13.3180,1752783959519,"HillClimber-Greedy",82
22,916811951,13.6427,1752783959519,"HillClimber-Greedy",83
23,910878162,14.2016,1752783959520,"HillClimber-Greedy",86
24,909795993,14.3035,1752783959520,"HillClimber-Greedy",89
25,908517644,14.4240,1752783959522,"HillClimber-Greedy",101
26,906349355,14.6282,1752783959524,"HillClimber-Greedy",110
27,902586616,14.9826,1752783959524,"HillClimber-Greedy",114
28,901443577,15.0903,1752783959526,"HillClimber-Greedy",128
29,899000108,15.3204,1752783959526,"HillClimber-Greedy",129
30,895319819,15.6671,1752783959528,"HillClimber-Greedy",148
31,895230060,15.6756,1752783959533,"HillClimber-Greedy",191
32,893994641,15.7919,1752783959534,"HillClimber-Greedy",194
33,893092292,15.8769,1752783959537,"HillClimber-Greedy",218
34,892818133,15.9027,1752783959544,"HillClimber-Greedy",282
35,892245084,15.9567,1752783959545,"HillClimber-Greedy",289
36,891417345,16.0347,1752783959545,"HillClimber-Greedy",298
37,890795436,16.0933,1752783959548,"HillClimber-Greedy",349
38,890168877,16.1523,1752783959553,"HillClimber-Greedy",480
39,888859618,16.2756,1752783959554,"HillClimber-Greedy",529
40,887160279,16.4357,1752783959555,"HillClimber-Greedy",574
41,885598250,16.5828,1752783959557,"HillClimber-Greedy",650
42,884848811,16.6534,1752783959557,"HillClimber-Greedy",671
43,882300542,16.8934,1752783959557,"HillClimber-Greedy",681
44,881564493,16.9628,1752783959559,"HillClimber-Greedy",779
45,880638854,17.0499,1752783959559,"HillClimber-Greedy",786
