MoveNum,ProcessID,SourceMachine,DestMachine,OriginalMachine,Service,MoveCost,Requirements,Improvement,Timestamp,SolutionId
1,138,53,76,53,141,1,"[621123,391575,25988,3787006]",0.0000,1752530053816,1
2,759,53,71,53,749,1,"[810461,876255,311104,659257]",2.4285,1752530053817,2
3,759,71,53,53,749,1,"[810461,876255,311104,659257]",1.2379,1752530053818,2
4,780,47,60,47,769,1,"[386106,346913,22844,1338795]",2.4285,1752530053818,2
5,550,47,71,47,542,1,"[399471,511495,97396,962662]",3.8310,1752530053819,3
6,550,71,47,47,542,1,"[399471,511495,97396,962662]",3.1888,1752530053819,3
7,55,96,71,96,62,1,"[596195,1066385,82057,954172]",3.8310,1752530053820,3
8,55,71,96,96,62,1,"[596195,1066385,82057,954172]",3.5901,1752530053820,3
9,807,38,31,38,795,1,"[631212,347412,6813,769078]",3.8310,1752530053820,3
10,807,31,46,38,795,1,"[631212,347412,6813,769078]",5.4422,1752530053822,3
11,807,46,59,38,795,1,"[631212,347412,6813,769078]",5.4411,1752530053822,3
12,807,59,71,38,795,1,"[631212,347412,6813,769078]",4.7174,1752530053823,3
13,807,71,31,38,795,1,"[631212,347412,6813,769078]",4.3970,1752530053823,3
14,54,75,14,75,61,1,"[745972,749817,639473,401458]",5.4422,1752530053824,4
15,54,14,46,75,61,1,"[745972,749817,639473,401458]",6.6967,1752530053824,4
16,129,57,71,57,132,1,"[379872,295579,1493,1126371]",6.9562,1752530053825,5
17,532,47,10,47,524,1,"[731278,942593,22543,110065]",7.1665,1752530053825,6
18,729,53,9,53,720,1,"[267230,145417,1468,1163099]",7.2738,1752530053826,7
19,729,9,53,53,720,1,"[267230,145417,1468,1163099]",7.1764,1752530053826,7
20,102,75,14,75,108,1,"[413734,298634,329380,651632]",7.2738,1752530053826,7
21,102,14,59,75,108,1,"[413734,298634,329380,651632]",7.8283,1752530053827,7
22,102,59,14,75,108,1,"[413734,298634,329380,651632]",7.2279,1752530053827,7
23,856,47,59,47,843,1,"[241733,216306,88702,937081]",7.8283,1752530053828,8
24,856,59,93,47,843,1,"[241733,216306,88702,937081]",7.3004,1752530053828,8
25,856,93,59,47,843,1,"[241733,216306,88702,937081]",6.5627,1752530053828,8
26,856,59,47,47,843,1,"[241733,216306,88702,937081]",7.3004,1752530053828,8
27,586,96,0,96,578,1,"[539006,810552,25273,107071]",7.8283,1752530053829,8
28,586,0,6,96,578,1,"[539006,810552,25273,107071]",8.5359,1752530053829,8
29,586,6,0,96,578,1,"[539006,810552,25273,107071]",8.4684,1752530053829,8
30,960,67,6,67,944,1,"[396195,406974,78654,643026]",8.5359,1752530053829,9
31,960,6,59,67,944,1,"[396195,406974,78654,643026]",9.5399,1752530053829,9
32,960,59,83,67,944,1,"[396195,406974,78654,643026]",9.3950,1752530053829,9
33,960,83,6,67,944,1,"[396195,406974,78654,643026]",9.3109,1752530053830,9
34,905,38,59,38,889,1,"[570158,389747,71370,425846]",9.5399,1752530053830,10
35,905,59,38,38,889,1,"[570158,389747,71370,425846]",9.4158,1752530053830,10
36,848,21,23,21,835,1,"[380751,468133,4293,389537]",9.5399,1752530053830,10
37,848,23,59,21,835,1,"[380751,468133,4293,389537]",9.6535,1752530053831,10
38,990,57,9,57,970,1,"[183688,190943,1654,862176]",10.4134,1752530053831,11
39,990,9,93,57,970,1,"[183688,190943,1654,862176]",10.7061,1752530053831,11
40,990,93,9,57,970,1,"[183688,190943,1654,862176]",9.7145,1752530053831,11
41,695,21,23,21,686,1,"[316476,335476,5570,554788]",10.7061,1752530053832,12
42,695,23,83,21,686,1,"[316476,335476,5570,554788]",10.5604,1752530053832,12
43,695,83,93,21,686,1,"[316476,335476,5570,554788]",11.2269,1752530053832,12
44,695,93,83,21,686,1,"[316476,335476,5570,554788]",10.4520,1752530053832,12
45,997,18,71,18,977,1,"[440773,543839,438763,109527]",11.2269,1752530053833,13
46,997,71,18,18,977,1,"[440773,543839,438763,109527]",11.1420,1752530053833,13
47,678,74,93,74,669,1,"[164539,275432,11218,909242]",11.2269,1752530053833,13
48,678,93,74,74,669,1,"[164539,275432,11218,909242]",10.9933,1752530053833,13
49,122,32,16,32,127,1,"[329559,169433,673412,314049]",11.2269,1752530053834,13
50,122,16,32,32,127,1,"[329559,169433,673412,314049]",11.1283,1752530053834,13
51,742,12,16,12,732,1,"[54651,100686,390845,458242]",11.2269,1752530053834,13
52,742,16,36,12,732,1,"[54651,100686,390845,458242]",11.5782,1752530053834,13
53,742,36,60,12,732,1,"[54651,100686,390845,458242]",11.5247,1752530053834,13
54,742,60,16,12,732,1,"[54651,100686,390845,458242]",11.2269,1752530053835,13
55,268,94,93,94,271,1,"[141361,95994,54732,699047]",11.5782,1752530053835,14
56,268,93,97,94,271,1,"[141361,95994,54732,699047]",11.6267,1752530053835,14
57,726,19,93,19,717,1,"[248573,285318,12427,1075426]",12.2365,1752530053835,15
58,726,93,19,19,717,1,"[248573,285318,12427,1075426]",11.6396,1752530053835,15
59,483,19,23,19,477,1,"[178633,252402,12239,574459]",12.2365,1752530053836,15
60,483,23,36,19,477,1,"[178633,252402,12239,574459]",12.2657,1752530053836,15
61,483,36,93,19,477,1,"[178633,252402,12239,574459]",12.4498,1752530053836,15
62,483,93,36,19,477,1,"[178633,252402,12239,574459]",12.1636,1752530053836,15
63,372,32,60,32,369,1,"[92649,100729,468473,561226]",12.4498,1752530053836,16
64,372,60,32,32,369,1,"[92649,100729,468473,561226]",12.1575,1752530053837,16
65,929,70,93,70,913,1,"[256025,308964,4479,621420]",12.4498,1752530053837,16
66,929,93,70,70,913,1,"[256025,308964,4479,621420]",12.1778,1752530053837,16
67,357,12,93,12,355,1,"[284825,262037,53689,431216]",12.4498,1752530053837,16
68,357,93,12,12,355,1,"[284825,262037,53689,431216]",12.3188,1752530053837,16
69,306,70,46,70,308,1,"[181309,99145,633085,306372]",12.4498,1752530053837,16
70,306,46,60,70,308,1,"[181309,99145,633085,306372]",12.6183,1752530053837,16
71,306,60,46,70,308,1,"[181309,99145,633085,306372]",12.1420,1752530053838,16
72,266,8,60,8,269,1,"[111892,128186,87211,589811]",12.6183,1752530053838,17
73,266,60,93,8,269,1,"[111892,128186,87211,589811]",12.5924,1752530053838,17
74,262,21,23,21,265,1,"[211274,279550,12485,371342]",12.6410,1752530053838,18
75,262,23,21,21,265,1,"[211274,279550,12485,371342]",12.3455,1752530053838,18
76,31,51,23,51,40,1,"[260810,139192,1102,502038]",12.6410,1752530053839,18
77,31,23,60,51,40,1,"[260810,139192,1102,502038]",12.7179,1752530053839,18
78,31,60,23,51,40,1,"[260810,139192,1102,502038]",12.6043,1752530053839,18
79,799,5,26,5,787,1,"[64005,92927,569546,119413]",12.7179,1752530053839,19
80,799,26,60,5,787,1,"[64005,92927,569546,119413]",13.2505,1752530053839,19
81,799,60,26,5,787,1,"[64005,92927,569546,119413]",12.7141,1752530053840,19
82,345,53,71,53,343,1,"[365460,325218,71990,51135]",13.2505,1752530053840,20
83,641,27,42,27,632,1,"[387177,285009,1465,106955]",13.3180,1752530053840,21
84,577,40,14,40,569,1,"[75054,114051,663513,62744]",13.6427,1752530053840,22
85,577,14,60,40,569,1,"[75054,114051,663513,62744]",14.2016,1752530053841,22
86,577,60,14,40,569,1,"[75054,114051,663513,62744]",13.5129,1752530053841,22
87,947,74,60,74,931,1,"[103822,66004,30012,580537]",14.2016,1752530053841,23
88,947,60,74,74,931,1,"[103822,66004,30012,580537]",14.1871,1752530053841,23
89,134,74,40,74,137,1,"[163723,223130,364138,85660]",14.2016,1752530053841,23
90,309,70,93,70,4,1,"[170980,153465,38607,389135]",14.3035,1752530053842,24
91,309,93,70,70,4,1,"[170980,153465,38607,389135]",13.8852,1752530053842,24
92,274,54,93,54,277,1,"[111871,142286,6093,496234]",14.3035,1752530053842,24
93,274,93,54,54,277,1,"[111871,142286,6093,496234]",14.2978,1752530053842,24
94,903,21,60,21,887,1,"[83475,42205,424996,256230]",14.3035,1752530053842,24
95,903,60,21,21,887,1,"[83475,42205,424996,256230]",14.1723,1752530053842,24
96,874,12,4,12,861,1,"[3129,4796,733740,672]",14.3035,1752530053843,24
97,874,4,11,12,861,1,"[3129,4796,733740,672]",13.9450,1752530053843,24
98,874,11,19,12,861,1,"[3129,4796,733740,672]",14.4240,1752530053843,24
99,874,19,36,12,861,1,"[3129,4796,733740,672]",14.1356,1752530053843,24
100,874,36,60,12,861,1,"[3129,4796,733740,672]",13.9450,1752530053843,24
101,874,60,11,12,861,1,"[3129,4796,733740,672]",13.9450,1752530053843,24
102,871,40,4,40,858,1,"[1806,2414,823163,273]",14.4240,1752530053843,25
103,871,4,36,40,858,1,"[1806,2414,823163,273]",14.0472,1752530053844,25
104,871,36,4,40,858,1,"[1806,2414,823163,273]",14.0472,1752530053844,25
105,871,4,40,40,858,1,"[1806,2414,823163,273]",14.0472,1752530053844,25
106,689,52,60,52,680,1,"[20892,18677,620777,105352]",14.4240,1752530053844,25
107,689,60,52,52,680,1,"[20892,18677,620777,105352]",14.3713,1752530053844,25
108,416,47,60,47,412,1,"[52365,26321,754337,252949]",14.4240,1752530053845,25
109,416,60,47,47,412,1,"[52365,26321,754337,252949]",13.6886,1752530053845,25
110,769,82,55,82,759,1,"[242591,295601,121376,35140]",14.4240,1752530053845,25
111,233,91,10,91,236,1,"[135706,187252,1881,342767]",14.6282,1752530053845,26
112,233,10,31,91,236,1,"[135706,187252,1881,342767]",14.6282,1752530053845,26
113,233,31,93,91,236,1,"[135706,187252,1881,342767]",14.9826,1752530053845,26
114,233,93,31,91,236,1,"[135706,187252,1881,342767]",14.6282,1752530053846,26
115,963,5,60,5,0,1,"[115480,59357,38474,453075]",14.9826,1752530053846,27
116,963,60,93,5,0,1,"[115480,59357,38474,453075]",14.9464,1752530053846,27
117,963,93,5,5,0,1,"[115480,59357,38474,453075]",14.9464,1752530053846,27
118,33,57,6,57,42,1,"[195949,388502,10943,52007]",14.9826,1752530053846,27
119,33,6,65,57,42,1,"[195949,388502,10943,52007]",14.6230,1752530053846,27
120,33,65,96,57,42,1,"[195949,388502,10943,52007]",14.9731,1752530053846,27
121,33,96,65,57,42,1,"[195949,388502,10943,52007]",14.6230,1752530053846,27
122,33,65,57,57,42,1,"[195949,388502,10943,52007]",14.9731,1752530053846,27
123,565,34,10,34,557,1,"[138691,151801,6540,379496]",14.9826,1752530053846,27
124,565,10,93,34,557,1,"[138691,151801,6540,379496]",14.9500,1752530053846,27
125,565,93,10,34,557,1,"[138691,151801,6540,379496]",14.9500,1752530053847,27
126,565,10,34,34,557,1,"[138691,151801,6540,379496]",14.9500,1752530053847,27
127,466,52,60,52,460,1,"[43149,36320,440677,114324]",14.9826,1752530053847,27
128,466,60,76,52,460,1,"[43149,36320,440677,114324]",14.9826,1752530053847,27
129,267,2,65,2,270,1,"[225962,243906,44308,114014]",15.0903,1752530053847,28
130,702,17,60,17,693,1,"[115501,111289,44231,482978]",15.3204,1752530053848,29
131,702,60,93,17,693,1,"[115501,111289,44231,482978]",15.1968,1752530053848,29
132,702,93,17,17,693,1,"[115501,111289,44231,482978]",15.1968,1752530053848,29
133,840,79,60,79,827,1,"[74850,104550,4391,542915]",15.3204,1752530053848,29
134,840,60,93,79,827,1,"[74850,104550,4391,542915]",15.2219,1752530053848,29
135,840,93,79,79,827,1,"[74850,104550,4391,542915]",15.2220,1752530053848,29
136,150,64,60,64,153,1,"[26304,32105,607788,5858]",15.3204,1752530053848,29
137,150,60,64,64,153,1,"[26304,32105,607788,5858]",15.2733,1752530053848,29
138,37,82,10,82,45,1,"[102880,85226,1409,431078]",15.3204,1752530053848,29
139,37,10,60,82,45,1,"[102880,85226,1409,431078]",15.1863,1752530053848,29
140,37,60,93,82,45,1,"[102880,85226,1409,431078]",15.1863,1752530053849,29
141,37,93,60,82,45,1,"[102880,85226,1409,431078]",15.1863,1752530053849,29
142,37,60,82,82,45,1,"[102880,85226,1409,431078]",15.1863,1752530053849,29
143,889,21,60,21,874,1,"[198691,139650,183237,79763]",15.3204,1752530053849,29
144,889,60,21,21,874,1,"[198691,139650,183237,79763]",15.0549,1752530053849,29
145,764,64,4,64,754,1,"[8178,12594,570514,10226]",15.3204,1752530053849,29
146,764,4,26,64,754,1,"[8178,12594,570514,10226]",15.3084,1752530053849,29
147,764,26,60,64,754,1,"[8178,12594,570514,10226]",15.6671,1752530053849,29
148,764,60,26,64,754,1,"[8178,12594,570514,10226]",15.3084,1752530053850,29
149,353,70,10,70,351,1,"[151351,143582,3479,282652]",15.6671,1752530053850,30
150,353,10,93,70,351,1,"[151351,143582,3479,282652]",15.4099,1752530053850,30
151,353,93,10,70,351,1,"[151351,143582,3479,282652]",15.4099,1752530053850,30
152,353,10,70,70,351,1,"[151351,143582,3479,282652]",15.4099,1752530053850,30
153,828,85,60,85,815,1,"[23379,28885,613074,129165]",15.6671,1752530053850,30
154,828,60,85,85,815,1,"[23379,28885,613074,129165]",15.4530,1752530053851,30
155,45,77,4,77,53,1,"[2088,3006,594558,8728]",15.6671,1752530053851,30
156,45,4,36,77,53,1,"[2088,3006,594558,8728]",15.6262,1752530053851,30
157,45,36,60,77,53,1,"[2088,3006,594558,8728]",15.6262,1752530053851,30
158,45,60,4,77,53,1,"[2088,3006,594558,8728]",15.6262,1752530053851,30
159,45,4,77,77,53,1,"[2088,3006,594558,8728]",15.6262,1752530053851,30
160,71,77,4,77,77,1,"[1101,1445,655452,7709]",15.6671,1752530053851,30
161,71,4,36,77,77,1,"[1101,1445,655452,7709]",15.5688,1752530053851,30
162,71,36,60,77,77,1,"[1101,1445,655452,7709]",15.5688,1752530053852,30
163,71,60,4,77,77,1,"[1101,1445,655452,7709]",15.5688,1752530053852,30
164,71,4,77,77,77,1,"[1101,1445,655452,7709]",15.5688,1752530053852,30
165,158,82,60,82,161,1,"[164428,100224,8861,286758]",15.6671,1752530053852,30
166,158,60,83,82,161,1,"[164428,100224,8861,286758]",15.4538,1752530053852,30
167,158,83,93,82,161,1,"[164428,100224,8861,286758]",15.4622,1752530053852,30
168,158,93,83,82,161,1,"[164428,100224,8861,286758]",15.4538,1752530053852,30
169,158,83,82,82,161,1,"[164428,100224,8861,286758]",15.4622,1752530053852,30
170,147,49,10,49,150,1,"[153694,82597,5221,429501]",15.6671,1752530053852,30
171,147,10,60,49,150,1,"[153694,82597,5221,429501]",15.5622,1752530053852,30
172,147,60,93,49,150,1,"[153694,82597,5221,429501]",15.5622,1752530053852,30
173,147,93,60,49,150,1,"[153694,82597,5221,429501]",15.5622,1752530053852,30
174,147,60,49,49,150,1,"[153694,82597,5221,429501]",15.5622,1752530053853,30
175,16,21,60,21,25,1,"[71931,84956,555297,37417]",15.6671,1752530053853,30
176,16,60,21,21,25,1,"[71931,84956,555297,37417]",15.3837,1752530053853,30
177,588,57,10,57,580,1,"[89832,137384,4179,302791]",15.6671,1752530053853,30
178,588,10,60,57,580,1,"[89832,137384,4179,302791]",15.2973,1752530053853,30
179,588,60,93,57,580,1,"[89832,137384,4179,302791]",15.2973,1752530053854,30
180,588,93,60,57,580,1,"[89832,137384,4179,302791]",15.2973,1752530053854,30
181,588,60,57,57,580,1,"[89832,137384,4179,302791]",15.2973,1752530053854,30
182,566,96,93,96,558,1,"[225944,146023,5208,156373]",15.6671,1752530053854,30
183,566,93,96,96,558,1,"[225944,146023,5208,156373]",15.3482,1752530053854,30
184,463,27,60,27,457,1,"[134857,135281,90466,227418]",15.6671,1752530053854,30
185,463,60,27,27,457,1,"[134857,135281,90466,227418]",15.5145,1752530053855,30
186,298,67,6,67,300,1,"[189658,313920,2132,25865]",15.6671,1752530053855,30
187,298,6,96,67,300,1,"[189658,313920,2132,25865]",15.3393,1752530053855,30
188,298,96,6,67,300,1,"[189658,313920,2132,25865]",15.3393,1752530053855,30
189,298,6,67,67,300,1,"[189658,313920,2132,25865]",15.3393,1752530053855,30
190,800,15,60,15,788,1,"[113014,116985,107510,242652]",15.6671,1752530053855,30
191,800,60,83,15,788,1,"[113014,116985,107510,242652]",15.6081,1752530053855,30
192,628,27,49,27,619,1,"[184189,218072,25039,73343]",15.6756,1752530053855,31
193,628,49,93,27,619,1,"[184189,218072,25039,73343]",15.7919,1752530053855,31
194,628,93,49,27,619,1,"[184189,218072,25039,73343]",15.6681,1752530053856,31
195,94,64,40,64,100,1,"[123802,186889,166454,21848]",15.7919,1752530053856,32
196,94,40,71,64,100,1,"[123802,186889,166454,21848]",15.6351,1752530053856,32
197,94,71,40,64,100,1,"[123802,186889,166454,21848]",15.6351,1752530053856,32
198,94,40,64,64,100,1,"[123802,186889,166454,21848]",15.6351,1752530053856,32
199,194,2,16,2,197,1,"[136051,124632,361886,21951]",15.7919,1752530053856,32
200,194,16,60,2,197,1,"[136051,124632,361886,21951]",15.5574,1752530053856,32
201,194,60,71,2,197,1,"[136051,124632,361886,21951]",15.5574,1752530053856,32
202,194,71,2,2,197,1,"[136051,124632,361886,21951]",15.5574,1752530053856,32
203,418,52,60,52,414,1,"[51528,33936,376960,19144]",15.7919,1752530053856,32
204,418,60,71,52,414,1,"[51528,33936,376960,19144]",15.5200,1752530053856,32
205,418,71,60,52,414,1,"[51528,33936,376960,19144]",15.5200,1752530053856,32
206,418,60,52,52,414,1,"[51528,33936,376960,19144]",15.5200,1752530053857,32
207,425,64,93,64,421,1,"[117811,206270,10966,162511]",15.7919,1752530053857,32
208,425,93,64,64,421,1,"[117811,206270,10966,162511]",15.7399,1752530053857,32
209,328,91,60,91,327,1,"[120532,62470,307077,115848]",15.7919,1752530053857,32
210,328,60,91,91,327,1,"[120532,62470,307077,115848]",15.6659,1752530053858,32
211,365,98,52,98,362,1,"[9168,14790,385812,64090]",15.7919,1752530053858,32
212,365,52,60,98,362,1,"[9168,14790,385812,64090]",15.7907,1752530053858,32
213,365,60,52,98,362,1,"[9168,14790,385812,64090]",15.7907,1752530053858,32
214,365,52,98,98,362,1,"[9168,14790,385812,64090]",15.7907,1752530053858,32
215,582,80,28,80,574,1,"[101977,158988,267814,20248]",15.7919,1752530053859,32
216,582,28,40,80,574,1,"[101977,158988,267814,20248]",15.8769,1752530053859,32
217,582,40,71,80,574,1,"[101977,158988,267814,20248]",15.7139,1752530053859,32
